"定点報告疾患 週報告分 医療圏別"
"東京都"
"集計期間開始週","2025年49週"
"集計期間終了週","2025年49週"
"性別","男性"

"","インフルエンザ","新型コロナウイルス感染症（COVID-19）","急性呼吸器感染症（ARI）","RSウイルス感染症","咽頭結膜熱","Ａ群溶血性レンサ球菌咽頭炎","感染性胃腸炎","水痘","手足口病","伝染性紅斑","突発性発しん","ヘルパンギーナ","流行性耳下腺炎","不明発しん症","川崎病","急性出血性結膜炎","流行性角結膜炎","細菌性髄膜炎","無菌性髄膜炎","マイコプラズマ肺炎","クラミジア肺炎(オウム病は除く)","感染性胃腸炎（ロタウイルス）","インフルエンザ入院","COVID-19入院","インフルエンザ/COVID-19定点","急性呼吸器感染症定点","小児科定点","眼科定点","基幹定点","インフルエンザ入院定点","COVID-19入院定点"
"区東北部","907","16","2892","10","22","57","159","5","0","0","6","0","0","1","3","0","1","0","0","3","0","0","9","5","40","40","25","4","1","1","1"
"区東部","1004","18","2743","3","4","94","189","7","1","4","4","1","1","1","0","0","0","0","0","4","0","0","3","1","41","41","26","4","1","1","1"
"西多摩","310","7","618","0","0","17","12","3","0","0","1","0","0","0","0","0","0","0","0","7","0","0","5","1","14","14","8","1","1","1","1"
"南多摩","1970","23","5567","2","10","154","183","13","0","2","11","2","4","3","0","0","2","0","0","0","0","0","7","13","44","44","28","4","1","1","1"
"北多摩西部","481","8","1137","5","0","21","28","1","0","1","1","0","2","0","0","0","1","0","0","1","0","0","6","0","20","20","13","2","1","1","1"
"北多摩南部","892","37","2637","5","4","93","102","16","3","7","2","0","1","1","0","0","1","0","0","2","0","0","18","2","33","33","21","3","3","3","3"
"北多摩北部","789","11","2179","3","5","36","118","15","0","2","5","1","0","0","0","0","1","0","0","2","0","0","28","4","23","23","15","2","2","2","2"
"島しょ","20","0","51","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","0","1","1","1"
"合計","10495","214","30073","57","62","663","1589","93","9","20","54","5","12","13","6","0","15","0","0","22","0","0","113","34","417","417","263","39","25","25","25"


